week_start,SKU_NO,sales
2020-01-06,P1,11
2020-01-06,P2,7
2020-01-06,P3,7
2020-01-06,P4,12
2020-01-06,P5,8
2020-01-06,P6,3
2020-01-06,P7,4
2020-01-06,P8,8
2020-01-06,P9,14
2020-01-06,P10,22
2020-01-06,P11,15
2020-01-06,P12,3
2020-01-06,P13,12
2020-01-06,P14,14
2020-01-06,P15,19
2020-01-06,P16,30
2020-01-06,P17,49
2020-01-06,P18,40
2020-01-06,P19,26
2020-01-06,P20,13
2020-01-06,P21,12
2020-01-06,P22,8
2020-01-06,P23,3
2020-01-06,P24,36
2020-01-06,P25,26
2020-01-06,P26,14
2020-01-06,P27,44
2020-01-06,P28,34
2020-01-06,P29,13
2020-01-06,P30,46
2020-01-06,P31,7
2020-01-06,P32,15
2020-01-06,P33,15
2020-01-06,P34,47
2020-01-06,P35,34
2020-01-06,P36,41
2020-01-06,P37,36
2020-01-06,P38,37
2020-01-06,P39,31
2020-01-06,P40,41
2020-01-06,P41,35
2020-01-06,P42,42
2020-01-06,P43,28
2020-01-06,P44,34
2020-01-06,P45,40
2020-01-06,P46,27
2020-01-06,P47,40
2020-01-06,P48,29
2020-01-06,P49,37
2020-01-06,P50,12
2020-01-06,P51,19
2020-01-06,P52,40
2020-01-06,P53,2
2020-01-06,P54,41
2020-01-06,P55,34
2020-01-06,P56,31
2020-01-06,P57,38
2020-01-06,P58,32
2020-01-06,P59,5
2020-01-06,P60,37
2020-01-06,P61,25
2020-01-06,P62,12
2020-01-06,P63,37
2020-01-06,P64,34
2020-01-06,P65,14
2020-01-06,P66,35
2020-01-06,P67,36
2020-01-06,P68,14
2020-01-06,P69,26
2020-01-06,P70,31
2020-01-06,P71,7
2020-01-06,P72,26
2020-01-06,P73,35
2020-01-06,P74,8
2020-01-06,P75,34
2020-01-06,P76,27
2020-01-06,P77,7
2020-01-06,P78,39
2020-01-06,P79,37
2020-01-06,P80,38
2020-01-06,P81,14
2020-01-06,P82,10
2020-01-06,P83,46
2020-01-06,P84,29
2020-01-06,P85,39
2020-01-06,P86,37
2020-01-06,P87,30
2020-01-06,P88,41
2020-01-06,P89,24
2020-01-06,P90,42
2020-01-06,P91,10
2020-01-06,P92,26
2020-01-06,P93,11
2020-01-06,P94,14
2020-01-06,P95,12
2020-01-06,P96,31
2020-01-06,P97,29
2020-01-06,P98,4
2020-01-06,P99,16
2020-01-06,P100,13
2020-01-06,P101,26
2020-01-06,P102,34
2020-01-06,P103,7
2020-01-06,P104,4
2020-01-06,P105,2
2020-01-06,P106,11
2020-01-06,P107,19
2020-01-06,P108,0
2020-01-06,P109,9
2020-01-06,P110,9
2020-01-06,P111,5
2020-01-06,P112,31
2020-01-06,P113,22
2020-01-06,P114,7
2020-01-06,P115,9
2020-01-06,P116,13
2020-01-06,P117,6
2020-01-06,P118,16
2020-01-06,P119,30
2020-01-06,P120,37
2020-01-06,P121,7
2020-01-06,P122,7
2020-01-06,P123,5
2020-01-06,P124,4
2020-01-06,P125,6
2020-01-06,P126,3
2020-01-06,P127,4
2020-01-06,P128,36
2020-01-06,P129,21
2020-01-06,P130,19
2020-01-06,P131,29
2020-01-06,P132,39
2020-01-06,P133,30
2020-01-06,P134,32
2020-01-06,P135,38
2020-01-06,P136,39
2020-01-06,P137,37
2020-01-06,P138,36
2020-01-06,P139,32
2020-01-06,P140,28
2020-01-06,P141,27
2020-01-06,P142,23
2020-01-06,P143,31
2020-01-06,P144,9
2020-01-06,P145,10
2020-01-06,P146,7
2020-01-06,P147,10
2020-01-06,P148,3
2020-01-06,P149,11
2020-01-06,P150,4
2020-01-06,P151,3
2020-01-06,P152,11
2020-01-06,P153,22
2020-01-06,P154,12
2020-01-06,P155,5
2020-01-06,P156,1
2020-01-06,P157,12
2020-01-06,P158,8
2020-01-06,P159,2
2020-01-06,P160,9
2020-01-06,P161,5
2020-01-06,P162,13
2020-01-06,P163,6
2020-01-06,P164,9
2020-01-06,P165,9
2020-01-06,P166,7
2020-01-06,P167,33
2020-01-06,P168,34
2020-01-06,P169,38
2020-01-06,P170,29
2020-01-06,P171,6
2020-01-06,P172,32
2020-01-06,P173,34
2020-01-06,P174,37
2020-01-06,P175,30
2020-01-06,P176,38
2020-01-06,P177,25
2020-01-06,P178,35
2020-01-06,P179,44
2020-01-06,P180,40
2020-01-06,P181,32
2020-01-06,P182,42
2020-01-06,P183,25
2020-01-06,P184,30
2020-01-06,P185,32
2020-01-06,P186,36
2020-01-06,P187,31
2020-01-06,P188,33
2020-01-06,P189,32
2020-01-06,P190,54
2020-01-06,P191,48
2020-01-06,P192,24
2020-01-06,P193,36
2020-01-06,P194,35
2020-01-06,P195,4
2020-01-06,P196,43
2020-01-06,P197,6
2020-01-06,P198,7
2020-01-06,P199,4
2020-01-06,P200,18
2020-01-06,P201,1
2020-01-06,P202,10
2020-01-06,P203,9
2020-01-06,P204,1
2020-01-06,P205,11
2020-01-06,P206,1
2020-01-06,P207,2
2020-01-06,P208,30
2020-01-06,P209,12
2020-01-06,P210,16
2020-01-06,P211,15
2020-01-06,P212,0
2020-01-06,P213,0
2020-01-06,P214,0
2020-01-06,P215,0
2020-01-06,P216,0
2020-01-06,P217,0
2020-01-06,P218,0
2020-01-06,P219,0
2020-01-06,P220,0
2020-01-06,P221,0
2020-01-06,P222,0
2020-01-06,P223,0
2020-01-06,P224,0
2020-01-06,P225,0
2020-01-06,P226,0
2020-01-06,P227,1
2020-01-06,P228,0
2020-01-06,P229,0
2020-01-06,P230,0
2020-01-06,P231,0
2020-01-06,P232,0
2020-01-06,P233,0
2020-01-06,P234,0
2020-01-06,P235,0
2020-01-06,P236,0
2020-01-06,P237,0
2020-01-06,P238,0
2020-01-06,P239,0
2020-01-06,P240,0
2020-01-06,P241,0
2020-01-06,P242,0
2020-01-06,P243,0
2020-01-06,P244,0
2020-01-06,P245,2
2020-01-06,P246,0
2020-01-06,P247,1
2020-01-06,P248,0
2020-01-06,P249,0
2020-01-06,P250,0
2020-01-06,P251,0
2020-01-06,P252,0
2020-01-06,P253,0
2020-01-06,P254,0
2020-01-06,P255,1
2020-01-06,P256,0
2020-01-06,P257,0
2020-01-06,P258,0
2020-01-06,P259,0
2020-01-06,P260,0
2020-01-06,P261,20
2020-01-06,P262,25
2020-01-06,P263,18
2020-01-06,P264,8
2020-01-06,P265,0
2020-01-06,P266,6
2020-01-06,P267,8
2020-01-06,P268,18
2020-01-06,P269,7
2020-01-06,P270,26
2020-01-06,P271,3
2020-01-06,P272,0
2020-01-06,P273,0
2020-01-06,P274,0
2020-01-06,P275,0
2020-01-06,P276,0
2020-01-06,P277,0
2020-01-06,P278,0
2020-01-06,P279,0
2020-01-06,P280,0
2020-01-06,P281,1
2020-01-06,P282,0
2020-01-06,P283,0
2020-01-06,P284,26
2020-01-06,P285,11
2020-01-06,P286,17
2020-01-06,P287,0
2020-01-06,P288,1
2020-01-06,P289,0
2020-01-06,P290,0
2020-01-06,P291,2
2020-01-06,P292,2
2020-01-06,P293,6
2020-01-06,P294,9
2020-01-06,P295,3
2020-01-06,P296,7
2020-01-06,P297,3
2020-01-06,P298,5
2020-01-06,P299,10
2020-01-06,P300,6
2020-01-06,P301,7
2020-01-06,P302,4
2020-01-06,P303,3
2020-01-06,P304,7
2020-01-06,P305,8
2020-01-06,P306,4
2020-01-06,P307,4
2020-01-06,P308,7
2020-01-06,P309,9
2020-01-06,P310,5
2020-01-06,P311,8
2020-01-06,P312,3
2020-01-06,P313,10
2020-01-06,P314,6
2020-01-06,P315,5
2020-01-06,P316,4
2020-01-06,P317,2
2020-01-06,P318,3
2020-01-06,P319,5
2020-01-06,P320,2
2020-01-06,P321,3
2020-01-06,P322,4
2020-01-06,P323,3
2020-01-06,P324,11
2020-01-06,P325,7
2020-01-06,P326,3
2020-01-06,P327,2
2020-01-06,P328,4
2020-01-06,P329,2
2020-01-06,P330,4
2020-01-06,P331,7
2020-01-06,P332,10
2020-01-06,P333,9
2020-01-06,P334,11
2020-01-06,P335,6
2020-01-06,P336,2
2020-01-06,P337,3
2020-01-06,P338,2
2020-01-06,P339,0
2020-01-06,P340,0
2020-01-06,P341,5
2020-01-06,P342,3
2020-01-06,P343,0
2020-01-06,P344,1
2020-01-06,P345,2
2020-01-06,P346,0
2020-01-06,P347,1
2020-01-06,P348,1
2020-01-06,P349,0
2020-01-06,P350,0
2020-01-06,P351,0
2020-01-06,P352,0
2020-01-06,P354,0
2020-01-06,P355,0
2020-01-06,P356,4
2020-01-06,P357,3
2020-01-06,P358,1
2020-01-06,P359,3
2020-01-06,P360,0
2020-01-06,P361,6
2020-01-06,P362,1
2020-01-06,P363,2
2020-01-06,P364,10
2020-01-06,P365,6
2020-01-06,P366,2
2020-01-06,P367,0
2020-01-06,P368,0
2020-01-06,P369,3
2020-01-06,P370,6
2020-01-06,P371,2
2020-01-06,P372,1
2020-01-06,P373,0
2020-01-06,P374,1
2020-01-06,P375,1
2020-01-06,P376,0
2020-01-06,P377,1
2020-01-06,P378,0
2020-01-06,P379,0
2020-01-06,P380,0
2020-01-06,P381,0
2020-01-06,P382,0
2020-01-06,P383,0
2020-01-06,P384,1
2020-01-06,P386,0
2020-01-06,P387,5
2020-01-06,P388,5
2020-01-06,P389,2
2020-01-06,P390,4
2020-01-06,P391,0
2020-01-06,P392,3
2020-01-06,P393,1
2020-01-06,P394,1
2020-01-06,P395,1
2020-01-06,P396,0
2020-01-06,P397,10
2020-01-06,P398,14
2020-01-06,P399,17
2020-01-06,P400,20
2020-01-06,P401,3
2020-01-06,P402,1
2020-01-06,P403,12
2020-01-06,P404,11
2020-01-06,P405,23
2020-01-06,P406,6
2020-01-06,P407,22
2020-01-06,P408,7
2020-01-06,P409,42
2020-01-06,P410,6
2020-01-06,P411,16
2020-01-06,P412,4
2020-01-06,P413,4
2020-01-06,P414,2
2020-01-06,P415,2
2020-01-06,P416,1
2020-01-06,P417,0
2020-01-06,P418,0
2020-01-06,P419,0
2020-01-06,P420,0
2020-01-06,P421,0
2020-01-06,P422,1
2020-01-06,P423,0
2020-01-06,P424,0
2020-01-06,P425,0
2020-01-06,P426,0
2020-01-06,P427,0
2020-01-06,P428,0
2020-01-06,P429,16
2020-01-06,P430,13
2020-01-06,P431,3
2020-01-06,P432,6
2020-01-06,P433,2
2020-01-06,P434,2
2020-01-06,P435,21
2020-01-06,P436,14
2020-01-06,P437,7
2020-01-06,P438,1
2020-01-06,P439,1
2020-01-06,P440,1
2020-01-06,P441,0
2020-01-06,P442,0
2020-01-06,P443,0
2020-01-06,P444,0
2020-01-06,P445,0
2020-01-06,P446,0
2020-01-06,P447,0
2020-01-06,P448,0
2020-01-06,P449,0
2020-01-06,P450,1
2020-01-06,P451,1
2020-01-06,P452,0
2020-01-06,P453,0
2020-01-06,P454,0
2020-01-06,P455,0
2020-01-06,P456,0
2020-01-06,P457,0
2020-01-06,P458,0
2020-01-06,P459,0
2020-01-06,P460,1
2020-01-06,P461,0
2020-01-06,P462,0
2020-01-06,P463,0
2020-01-06,P464,0
2020-01-06,P465,0
2020-01-06,P466,0
2020-01-06,P467,0
2020-01-06,P468,0
2020-01-06,P469,0
2020-01-06,P470,0
2020-01-06,P471,0
2020-01-06,P472,0
2020-01-06,P473,0
2020-01-06,P474,0
2020-01-06,P475,3
2020-01-06,P476,1
2020-01-06,P477,1
2020-01-06,P478,1
2020-01-06,P479,0
2020-01-06,P480,0
2020-01-06,P481,1
2020-01-06,P482,0
2020-01-06,P483,0
2020-01-06,P484,3
2020-01-06,P485,15
2020-01-06,P486,16
2020-01-06,P487,7
2020-01-06,P488,10
2020-01-06,P489,5
2020-01-06,P490,6
2020-01-06,P491,19
2020-01-06,P492,9
2020-01-06,P493,9
2020-01-06,P494,6
2020-01-06,P495,16
2020-01-06,P496,5
2020-01-06,P497,5
2020-01-06,P498,4
2020-01-06,P499,11
2020-01-06,P500,8
2020-01-06,P501,4
2020-01-06,P502,11
2020-01-06,P503,13
2020-01-06,P504,10
2020-01-06,P505,23
2020-01-06,P506,23
2020-01-06,P507,11
2020-01-06,P508,9
2020-01-06,P509,9
2020-01-06,P510,9
2020-01-06,P511,25
2020-01-06,P512,17
2020-01-06,P513,22
2020-01-06,P514,7
2020-01-06,P515,10
2020-01-06,P516,24
2020-01-06,P517,15
2020-01-06,P518,15
2020-01-06,P519,30
2020-01-06,P520,9
2020-01-06,P521,8
2020-01-06,P522,12
2020-01-06,P523,8
2020-01-06,P524,14
2020-01-06,P525,15
2020-01-06,P526,9
2020-01-06,P527,7
2020-01-06,P528,9
2020-01-06,P529,13
2020-01-06,P530,20
2020-01-06,P531,4
2020-01-06,P532,15
2020-01-06,P533,28
2020-01-06,P534,6
2020-01-06,P535,15
2020-01-06,P536,14
2020-01-06,P537,20
2020-01-06,P538,7
2020-01-06,P539,9
2020-01-06,P540,23
2020-01-06,P541,11
2020-01-06,P542,12
2020-01-06,P543,9
2020-01-06,P544,15
2020-01-06,P545,13
2020-01-06,P546,10
2020-01-06,P547,9
2020-01-06,P548,32
2020-01-06,P549,35
2020-01-06,P550,11
2020-01-06,P551,5
2020-01-06,P552,15
2020-01-06,P553,2
2020-01-06,P554,24
2020-01-06,P555,10
2020-01-06,P556,15
2020-01-06,P557,28
2020-01-06,P558,15
2020-01-06,P559,11
2020-01-06,P560,9
2020-01-06,P561,6
2020-01-06,P562,6
2020-01-06,P563,5
2020-01-06,P564,13
2020-01-06,P565,4
2020-01-06,P566,24
2020-01-06,P567,3
2020-01-06,P568,4
2020-01-06,P569,1
2020-01-06,P570,2
2020-01-06,P571,4
2020-01-06,P572,2
2020-01-06,P573,1
2020-01-06,P574,0
2020-01-06,P575,0
2020-01-06,P576,0
2020-01-06,P577,1
2020-01-06,P578,1
2020-01-06,P579,0
2020-01-06,P580,1
2020-01-06,P581,2
2020-01-06,P582,3
2020-01-06,P583,2
2020-01-06,P584,2
2020-01-06,P585,1
2020-01-06,P586,7
2020-01-06,P587,4
2020-01-06,P588,5
2020-01-06,P589,0
2020-01-06,P590,3
2020-01-06,P591,2
2020-01-06,P592,2
2020-01-06,P593,4
2020-01-06,P594,1
2020-01-06,P595,1
2020-01-06,P596,2
2020-01-06,P597,1
2020-01-06,P598,10
2020-01-06,P599,2
2020-01-06,P600,0
2020-01-06,P601,0
2020-01-06,P602,0
2020-01-06,P603,0
2020-01-06,P604,0
2020-01-06,P605,1
2020-01-06,P606,1
2020-01-06,P607,0
2020-01-06,P608,1
2020-01-06,P609,0
2020-01-06,P610,6
2020-01-06,P611,3
2020-01-06,P612,14
2020-01-06,P613,18
2020-01-06,P614,4
2020-01-06,P615,17
2020-01-06,P616,6
2020-01-06,P617,36
2020-01-06,P618,40
2020-01-06,P619,38
2020-01-06,P620,31
2020-01-06,P621,31
2020-01-06,P622,29
2020-01-06,P623,38
2020-01-06,P624,5
2020-01-06,P625,11
2020-01-06,P626,10
2020-01-06,P627,12
2020-01-06,P628,7
2020-01-06,P629,10
2020-01-06,P630,11
2020-01-06,P631,8
2020-01-06,P632,13
2020-01-06,P633,5
2020-01-06,P634,6
2020-01-06,P635,14
2020-01-06,P636,6
2020-01-06,P637,2
2020-01-06,P638,15
2020-01-06,P639,0
2020-01-06,P640,14
2020-01-06,P641,0
2020-01-06,P642,5
2020-01-06,P643,0
2020-01-06,P644,0
2020-01-06,P646,0
2020-01-06,P647,0
2020-01-06,P649,0
2020-01-06,P650,0
2020-01-06,P651,0
2020-01-06,P652,0
2020-01-06,P653,0
2020-01-06,P654,0
2020-01-06,P655,0
2020-01-06,P656,0
2020-01-06,P657,0
2020-01-06,P658,0
2020-01-06,P659,0
2020-01-06,P660,0
2020-01-06,P661,0
2020-01-06,P662,0
2020-01-06,P663,0
2020-01-06,P664,0
2020-01-06,P665,0
2020-01-06,P666,1
2020-01-06,P667,1
2020-01-06,P668,1
2020-01-06,P669,0
2020-01-06,P670,0
2020-01-06,P671,1
2020-01-06,P672,0
2020-01-06,P673,1
2020-01-06,P674,4
2020-01-06,P675,2
2020-01-06,P676,1
2020-01-06,P677,0
2020-01-06,P678,0
2020-01-06,P679,1
2020-01-06,P680,0
2020-01-06,P681,0
2020-01-06,P682,0
2020-01-06,P683,0
2020-01-06,P684,0
2020-01-06,P685,0
2020-01-06,P686,2
2020-01-06,P687,1
2020-01-06,P688,0
2020-01-06,P689,0
2020-01-06,P690,0
2020-01-06,P691,0
2020-01-06,P692,0
